RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,DateofCalculation,Valid_Aphia
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,56,56,2015,W,140712,1,NA,1,1,NA,1,NA,380,.,146,1,NA,NA,20210607,140712
HL,NS-IBTS,1,FR,35HT,GOV,50,NA,P,T0064,35,2015,W,107254,1,M,12,1,6,1,NA,557,.,38,4,NA,NA,20210607,107254
HL,NS-IBTS,1,FR,35HT,GOV,50,NA,P,T0064,35,2015,W,107254,1,M,12,1,6,1,NA,557,.,40,2,NA,NA,20210607,107254
HL,NS-IBTS,1,FR,35HT,GOV,50,NA,P,T0064,35,2015,W,107254,1,M,12,1,6,1,NA,557,.,41,4,NA,NA,20210607,107254
HL,NS-IBTS,1,FR,35HT,GOV,50,NA,P,T0064,35,2015,W,107254,1,M,12,1,6,1,NA,557,.,42,2,NA,NA,20210607,107254
HL,NS-IBTS,1,DK,26D4,GOV,60,NA,P,50,13,2015,W,107254,1,M,22,1,22,1,980,980,.,38,3,NA,NA,20210607,107254
HL,NS-IBTS,1,DK,26D4,GOV,60,NA,P,50,13,2015,W,107254,1,M,22,1,22,1,980,980,.,47,1,NA,NA,20210607,107254
HL,NS-IBTS,1,DK,26D4,GOV,60,NA,P,50,13,2015,W,107254,1,M,22,1,22,1,980,980,.,48,1,NA,NA,20210607,107254
HL,NS-IBTS,1,DK,26D4,GOV,60,NA,P,50,13,2015,W,107254,1,M,22,1,22,1,980,980,.,52,1,NA,NA,20210607,107254
HL,NS-IBTS,1,DK,26D4,GOV,60,NA,P,50,13,2015,W,107254,1,M,22,1,22,1,980,980,.,39,1,NA,NA,20210607,107254
HL,NS-IBTS,1,DK,26D4,GOV,60,NA,P,50,13,2015,W,107254,1,M,22,1,22,1,980,980,.,40,4,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,38,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,42,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,43,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,46,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,47,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,50,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,51,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,12,12,2015,W,107254,1,M,11,1,NA,1,NA,860,.,52,2,NA,NA,20210607,107254
