RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60003,104,2024,1,25,912,-9,30,D,60.0870,3.1540,60.121,3.1547,,-9,155,V,-9,1,1,R,3.4,-9,-9,3835,450,-9,-9,4.5,1075,108.6,-9,-9,-9,-9,355,4.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3835,108.6,-9,-9,O,O,O,0.416481,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60004,105,2024,1,25,1135,-9,30,D,60.3218,3.1427,60.3565,3.1405,,-9,139,V,-9,1,1,R,3.4,-9,-9,3893,420,-9,-9,4.5,1075,104.8,-9,-9,-9,-9,344,4.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3893,104.8,-9,-9,O,O,O,0.407986,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60007,108,2024,1,26,828,-9,30,D,59.7775,3.1228,59.8112,3.126,,-9,136,V,-9,1,1,R,3.4,-9,-9,3787,390,-9,-9,4.5,1075,107.1,-9,-9,-9,-9,359,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3787,107.1,-9,-9,O,O,O,0.405588,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60008,109,2024,1,26,1519,-9,30,D,59.6982,3.1713,59.6652,3.1912,,-9,147,V,-9,1,1,R,3.2,-9,-9,3917,420,-9,-9,4.5,1075,109.2,-9,-9,-9,-9,161,4.2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3917,109.2,-9,-9,O,O,O,0.427736,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60009,110,2024,1,27,806,-9,30,D,59.7303,2.3973,59.761,2.4265,,-9,117,V,-9,1,1,R,3.3,-9,-9,3832,360,-9,-9,4.5,1075,102.8,-9,-9,-9,-9,20,4.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3832,102.8,-9,-9,O,O,O,0.39393,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60010,111,2024,1,27,1128,-9,30,D,59.6223,2.7482,59.6542,2.7807,,-9,121,V,-9,1,1,R,3.2,-9,-9,4023,360,-9,-9,4.5,1075,102.1,-9,-9,-9,-9,9,4.3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4023,102.1,-9,-9,O,O,O,0.410748,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60011,112,2024,2,2,1032,-9,30,D,58.2150,4.3535,58.2367,4.3313,,-9,138,V,-9,1,1,R,2.3,-9,-9,2828,312,-9,-9,4.5,1075,103.6,18.6,-9,-9,-9,314,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2828,103.6,18.6,-9,O,O,O,0.292981,0.0526008,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60012,113,2024,2,2,1555,-9,30,D,58.2307,3.4380,58.2355,3.3833,,-9,98,V,-9,1,1,R,3.4,-9,-9,3311,292,-9,-9,4.5,1075,101.8,18.4,-9,-9,-9,270,3.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3311,101.8,18.4,-9,O,O,O,0.33706,0.0609224,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,60,S,P,60013,114,2024,2,3,805,-9,30,D,57.8462,3.4060,57.8777,3.4223,,-9,70,V,-9,1,1,R,4.2,-9,-9,3721,176,-9,-9,4.5,1075,72,-9,-9,-9,-9,357,3.9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3721,72,-9,-9,O,O,O,0.267912,-9,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,60,S,P,60014,115,2024,2,3,1321,-9,30,D,57.5437,2.7667,57.5118,2.7498,,-9,69,V,-9,1,1,R,3.8,-9,-9,3789,236,-9,-9,4.5,1075,80.5,21.1,-9,-9,-9,205,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3789,80.5,21.1,-9,O,O,O,0.305015,0.0799479,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,60,S,P,60015,116,2024,2,3,1533,-9,30,D,57.3713,2.8477,57.3382,2.8423,,-9,70,V,-9,1,1,R,3.7,-9,-9,3780,232,-9,-9,4.5,1075,80.3,20.6,-9,-9,-9,208,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3780,80.3,20.6,-9,O,O,O,0.303534,0.077868,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,60,S,P,60016,117,2024,2,5,746,-9,30,D,58.2125,2.6720,58.2343,2.624,,-9,73,V,-9,1,1,R,3.9,-9,-9,3735,216,-9,-9,4.5,1075,75.9,19.8,-9,-9,-9,313,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3735,75.9,19.8,-9,O,O,O,0.283486,0.073953,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60017,118,2024,2,5,1204,-9,30,D,58.6865,2.4907,58.6775,2.5523,,-9,106,V,-9,1,1,R,3.2,-9,-9,3741,308,-9,-9,4.5,1075,100.9,18.9,-9,-9,-9,107,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3741,100.9,18.9,-9,O,O,O,0.377467,0.0707049,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60018,119,2024,2,5,1526,-9,30,D,58.8855,3.1002,58.9058,3.1505,,-9,119,V,-9,1,1,R,2.7,-9,-9,3704,336,-9,-9,4.5,1075,105.2,19.4,-9,-9,-9,53,3.9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3704,105.2,19.4,-9,O,O,O,0.389661,0.0718576,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60019,120,2024,2,6,753,-9,30,D,59.1030,3.3552,59.1317,3.334,,-9,170,V,-9,1,1,R,3.1,-9,-9,3437,310,-9,-9,4.5,1075,107.4,19,-9,-9,-9,333,3.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3437,107.4,19,-9,O,O,O,0.369134,0.065303,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60020,121,2024,2,6,1111,-9,30,D,59.2770,3.1363,59.31,3.14,,-9,141,V,-9,1,1,R,3,-9,-9,3695,360,-9,-9,4.5,1075,108.9,19.6,-9,-9,-9,343,3.9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3695,108.9,19.6,-9,O,O,O,0.402386,0.072422,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60021,122,2024,2,6,1501,-9,30,D,59.2713,2.5228,59.3033,2.5275,,-9,130,V,-9,1,1,R,2.9,-9,-9,3626,356,-9,-9,4.5,1075,111.4,20.1,-9,-9,-9,358,3.9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3626,111.4,20.1,-9,O,O,O,0.403936,0.0728826,-9,20252103
HH,NS-IBTS,1,NO,58G2,GOV,110,D,P,60022,123,2024,2,7,814,-9,30,D,59.2997,0.5185,59.3312,0.5093,,-9,134,V,-9,1,1,R,3.1,-9,-9,3587,325,-9,-9,4.5,1075,107.8,19.2,-9,-9,-9,354,3.8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3587,107.8,19.2,-9,O,O,O,0.386679,0.0688704,-9,20252103
